,Date,Avg temperature (F),Precip Inches,Cloud Cover,Wind Speed(Miles)
358,2016-12-24,36,0.0,2.625,4.5
359,2016-12-25,32,0.0,27.0,10.0
360,2016-12-26,26,0.0,0.875,5.75
361,2016-12-27,35,0.0,0.625,5.75
362,2016-12-28,36,0.0,2.875,6.75
363,2016-12-29,31,0.0,1.625,4.875
364,2016-12-30,42,0.0,18.625,8.5
365,2016-12-31,30,0.0,6.5,3.0
366,2017-01-01,33,0.0,23.625,3.625
367,2017-01-02,32,0.0,13.375,7.125
368,2017-01-03,20,0.0,43.0,4.0
369,2017-01-04,15,0.2,55.875,4.125
370,2017-01-05,-1,0.2,96.0,4.5
371,2017-01-06,3,0.0,7.0,3.25
372,2017-01-07,16,0.0,5.25,4.75
373,2017-01-08,33,0.0,7.25,5.125
374,2017-01-09,45,0.0,4.25,12.875
375,2017-01-10,35,0.0,11.125,10.25
376,2017-01-11,38,0.0,21.625,8.25
377,2017-01-12,31,0.0,32.125,5.625
378,2017-01-13,28,0.0,20.875,1.875
379,2017-01-14,31,0.0,36.75,2.375
380,2017-01-15,29,0.0,48.875,2.0
381,2017-01-16,28,0.0,81.125,4.25
382,2017-01-17,28,0.0,5.375,4.25
383,2017-01-18,31,0.0,2.5,5.375
384,2017-01-19,36,0.0,1.5,5.0
385,2017-01-20,32,0.0,48.25,3.25
386,2017-01-21,27,0.0,31.5,4.25
387,2017-01-22,30,0.0,18.375,4.875
388,2017-01-23,36,0.0,65.125,5.0
389,2017-01-24,24,0.0,42.5,5.375
390,2017-01-25,19,0.0,34.0,2.875
391,2017-01-26,17,0.0,15.5,4.25
392,2017-01-27,23,0.0,11.0,6.25
393,2017-01-28,31,0.0,23.625,6.625
394,2017-01-29,41,0.0,6.625,7.75
395,2017-01-30,42,0.0,3.875,8.0
396,2017-01-31,43,0.0,5.5,6.875
397,2017-02-01,30,0.0,20.125,3.5
398,2017-02-02,24,0.0,34.625,4.875
399,2017-02-03,23,0.0,25.375,3.625
400,2017-02-04,40,0.0,1.875,9.25
401,2017-02-05,41,0.0,4.625,4.875
402,2017-02-06,44,0.0,8.5,8.875
403,2017-02-07,45,0.0,11.875,6.5
404,2017-02-08,44,0.0,5.375,9.25
405,2017-02-09,50,0.0,3.75,5.875
406,2017-02-10,57,0.0,0.75,10.625
407,2017-02-11,48,0.0,23.0,4.375
408,2017-02-12,37,0.0,50.25,4.125
409,2017-02-13,38,0.0,17.375,3.5
410,2017-02-14,33,0.0,5.25,4.125
411,2017-02-15,44,0.0,16.25,5.625
412,2017-02-16,51,0.0,0.0,6.125
413,2017-02-17,49,0.0,12.0,6.0
414,2017-02-18,49,0.0,18.125,4.25
415,2017-02-19,48,0.0,10.375,5.625
416,2017-02-20,44,0.0,11.625,5.25
417,2017-02-21,55,0.0,4.875,10.625
418,2017-02-22,46,0.0,8.125,6.625
419,2017-02-23,28,0.0,65.875,6.0
420,2017-02-24,16,0.0,85.75,3.25
421,2017-02-25,20,0.0,23.5,5.0
422,2017-02-26,23,0.0,4.5,3.75
